2020-02-22 14:23:51, INFO: Device: cpu
2020-02-22 14:23:51, INFO: Method: Attention_RL  
2020-02-22 14:23:51, INFO: pedestrian number: 5
2020-02-22 14:23:51, INFO: Randomize pedestrian's radius and preferred speed
2020-02-22 14:23:51, INFO: The training rule : circle_crossing, The test rule : circle_crossing
2020-02-22 14:23:51, INFO: Square range: 10.0, circle range: 4.0
2020-02-22 14:23:51, INFO: Current learning rate: 0.009000
2020-02-22 14:25:38, INFO: TRAIN has success rate: 0.86, collision rate: 0.13, nav time: 12.80, total reward: 0.2096
2020-02-22 14:31:35, INFO: Finish imitation learning. Weights saved.
2020-02-22 14:31:35, INFO: Experience set size: 100000/100000
2020-02-22 14:31:35, INFO: Agent is invisible ,agent has unicycle kinematic constraint
2020-02-22 14:31:35, INFO: Current learning rate: 0.000900
2020-02-22 14:38:13, INFO: VAL   in episode 0 has success rate: 0.22, collision rate: 0.05, nav time: 10.57, total reward: 0.0538
2020-02-22 14:38:13, INFO: Frequency of being in danger: 0.27 and average min separate distance in danger: 0.09
2020-02-22 14:38:15, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0186
2020-02-22 14:38:19, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-02-22 14:38:22, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1294
2020-02-22 14:38:25, INFO: TRAIN in episode 3 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-02-22 14:38:28, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-02-22 14:38:31, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1076
2020-02-22 14:38:34, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2020-02-22 14:38:35, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2403
2020-02-22 14:38:38, INFO: TRAIN in episode 8 has success rate: 1.00, collision rate: 0.00, nav time: 13.50, total reward: 0.2476
2020-02-22 14:38:41, INFO: TRAIN in episode 9 has success rate: 1.00, collision rate: 0.00, nav time: 22.25, total reward: 0.0985
2020-02-22 14:38:42, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2537
2020-02-22 14:38:45, INFO: TRAIN in episode 11 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3057
2020-02-22 14:38:48, INFO: TRAIN in episode 12 has success rate: 1.00, collision rate: 0.00, nav time: 23.00, total reward: 0.0567
2020-02-22 14:38:52, INFO: TRAIN in episode 13 has success rate: 1.00, collision rate: 0.00, nav time: 17.50, total reward: 0.1624
